type,mcc,mnc,lac,cid,colonne6,long,lat,Colonne9,Colonne10,Colonne11,Colonne12,Colonne13,Colonne14
GSM,372,1,27001,28742,0,-72.82356262207,18.386306762695,1000,1,1355670043,1355670043,1355670043,0
GSM,372,1,27001,28283,0,-72.815322875977,18.389053344727,1000,3,1355670472,1355670472,1355670472,0
GSM,372,1,27001,26382,0,-72.816696166992,18.394546508789,1000,2,1355670765,1355670765,1355670765,0
GSM,372,1,27001,26332,0,-72.809601,18.400269,1000,6,1355671231,1355671231,1355671231,0
GSM,372,1,27001,27873,0,-72.791976928711,18.42887878418,1000,1,1355675016,1355675016,1355675016,0
GSM,372,1,27001,28021,0,-72.734299,18.420639,1000,11,1357060587,1357060587,1357060587,0
GSM,372,1,27001,28022,0,-72.731552124023,18.41926574707,1000,1,1356954286,1356954286,1356954286,0
GSM,372,1,27001,28023,0,-72.742081,18.424072,1000,6,1357060602,1357060602,1357060602,0
GSM,372,1,27001,26331,0,-72.788544,18.429222,1000,8,1357061451,1357061451,1357061451,0
UMTS,372,1,37002,65723195,0,-72.303011,18.503408,1000,37,1383997550,1383997550,1383997550,0
UMTS,372,1,37001,65657649,0,-72.303085327148,18.503036499023,1000,5,1370197725,1370197725,1370197725,0
UMTS,372,1,37002,65720195,0,-72.305713,18.50226,1000,23,1375470952,1375470952,1375470952,0
GSM,372,1,27003,29321,0,-72.293477,18.52913,9372,4,1454511096,1454511096,1454511096,0
UMTS,372,1,37002,65720276,0,-72.302914,18.503037,1000,8,1375467091,1375467091,1375467091,0
UMTS,372,1,37001,65657648,0,-72.303085327148,18.503036499023,1000,1,1361104245,1361104245,1361104245,0
UMTS,372,1,37002,65720268,0,-72.301712,18.50235,1000,2,1361105227,1361105227,1361105227,0
GSM,372,1,27003,26193,0,-72.302445,18.516861,6473,15,1479377923,1479377923,1479377923,0
UMTS,372,1,37002,65720273,0,-72.304405,18.515821,4071,340,1375470677,1375470677,1375470677,0
UMTS,372,1,37002,65720263,0,-72.301818,18.502323,3741,52,1452051230,1452051230,1452051230,0
UMTS,372,1,37001,65654687,0,-72.298871,18.501663,1000,29,1361105155,1361105155,1361105155,0
UMTS,372,1,37002,65720265,0,-72.30361,18.501219,1000,34,1375470933,1375470933,1375470933,0
UMTS,372,1,37002,65722473,0,-72.297396,18.506372,3522,7,1452051335,1452051335,1452051335,0
GSM,372,1,27003,26143,0,-72.303085327148,18.503036499023,1000,1,1361105390,1361105390,1361105390,0
UMTS,372,1,37001,65653860,0,-72.294838,18.549107,1000,9,1505667868,1505667868,1505667868,0
UMTS,372,1,37001,65653857,0,-72.295007,18.549567,1000,17,1490036372,1490036372,1490036372,0
GSM,372,1,27003,26402,0,-72.297592163086,18.420639038086,1000,1,1362317177,1362317177,1362317177,0
GSM,372,1,34001,46671,0,-72.235794067383,19.726638793945,1000,6,1366450400,1366450400,1366450400,0
GSM,372,1,34001,45253,0,-72.235794067383,19.726638793945,1000,3,1364848193,1364848193,1364848193,0
GSM,372,1,34001,45563,0,-72.242661,19.734055,1000,5,1365352538,1365352538,1365352538,0
GSM,372,1,24001,19683,0,-72.239914,19.73259,1000,3,1365353479,1365353479,1365353479,0
GSM,372,1,24001,18791,0,-72.23991394043,19.732131958008,1000,2,1365353465,1365353465,1365353465,0
GSM,372,1,24001,19631,0,-72.23991394043,19.732131958008,1000,1,1365353438,1365353438,1365353438,0
GSM,372,1,35001,48642,0,-72.022934,19.660172,1000,5,1365584238,1365584238,1365584238,0
GSM,372,1,24001,19062,0,-72.206954956055,19.460220336914,1000,1,1367668126,1367668126,1367668126,0
UMTS,372,1,37001,65654378,0,-72.302017,18.520279,1000,9,1370193268,1370193268,1370193268,0
UMTS,372,1,37001,65654537,0,-72.294873,18.509081,5187,152,1436434904,1436434904,1436434904,0
UMTS,372,1,37001,65657578,0,-72.303085327148,18.518142700195,1000,1,1370193285,1370193285,1370193285,0
UMTS,372,1,37002,65657649,0,-72.303085327148,18.503036499023,1000,2,1370197719,1370197719,1370197719,0
UMTS,372,1,37002,65723135,0,-72.303085327148,18.503036499023,1000,2,1375467177,1375467177,1375467177,0
UMTS,372,1,37002,65720525,0,-72.303085327148,18.503036499023,1000,2,1370197717,1370197717,1370197717,0
UMTS,372,1,37001,65657647,0,-72.303085327148,18.503036499023,1000,1,1370197727,1370197727,1370197727,0
UMTS,372,1,37001,65655331,0,-72.33577,18.531326,1000,5,1375460468,1375460468,1375460468,0
UMTS,372,1,37001,65657462,0,-72.332159,18.527485,1000,76,1399724029,1399724029,1399724029,0
UMTS,372,1,37001,65655358,0,-72.334671,18.5327,1000,5,1375461231,1375461231,1375461231,0
UMTS,372,1,37001,65657439,0,-72.310836,18.520347,3199,377,1452431151,1452431151,1452431151,0
GSM,372,1,27004,26792,0,-72.329678,18.531056,1000,46,1492540200,1492540200,1492540200,0
UMTS,372,1,37001,65654148,0,-72.32333,18.531255,1000,31,1375461565,1375461565,1375461565,0
UMTS,372,1,37001,65654147,0,-72.327766,18.531857,1000,72,1465402577,1465402577,1465402577,0
UMTS,372,1,37001,65652728,0,-72.321527,18.534132,1000,14,1468520631,1468520631,1468520631,0
UMTS,372,1,37001,65657808,0,-72.311112,18.526929,1708,103,1375462217,1375462217,1375462217,0
UMTS,372,1,37001,65657809,0,-72.319908,18.534279,1000,8,1448795124,1448795124,1448795124,0
